"x","y","new_gp","noninfected_gp","infected_gp","sporulating_gp"
1,1,0.503394410363593,14938.3552407773,0,0
2,1,0.503394410363593,14938.3552407773,0,0
3,1,0.506552792465102,14938.336099302,0,1
4,1,0.503559127435627,14938.3542425059,0,1
5,1,0.503394410363593,14938.3552407773,0,0
6,1,0.503726429775346,14938.3532285663,0,2
7,1,0.503537608327481,14938.354372923,0,1
8,1,0.503555434114674,14938.3542648894,0,1
9,1,0.579557957303351,14937.8936306138,0,3
10,1,0.503721460432253,14938.3532586831,0,2
11,1,0.503394410363593,14938.3552407773,0,0
12,1,0.503555434114674,14938.3542648894,0,1
13,1,0.503394410363593,14938.3552407773,0,0
14,1,0.503394410363593,14938.3552407773,0,0
15,1,0.508084023324189,14938.3268192047,0,2
16,1,0.503555434114674,14938.3542648894,0,1
17,1,0.503560402399889,14938.354234779,0,1
18,1,0.503572489871061,14938.3541615226,0,1
19,1,0.503394410363593,14938.3552407773,0,0
20,1,0.503536699632373,14938.3543784301,0,1
1,2,0.503394410363593,14938.3552407773,0,0
2,2,0.503394410363593,14938.3552407773,0,0
3,2,0.503394410363593,14938.3552407773,0,0
4,2,0.514835726755768,14938.2858999987,0,1
5,2,0.503394410363593,14938.3552407773,0,0
6,2,0.503537608327481,14938.354372923,0,1
7,2,0.514835726755768,14938.2858999987,0,1
8,2,0.579228267625568,14937.8956288724,0,1
9,2,0.503580852580285,14938.3541108402,0,1
10,2,0.503394410363593,14938.3552407773,0,0
11,2,0.503394410363593,14938.3552407773,0,0
12,2,0.503698663303167,14938.3533968456,0,2
13,2,0.503726429775346,14938.3532285663,0,2
14,2,0.503572489871061,14938.3541615226,0,1
15,2,0.503555434114674,14938.3542648894,0,1
16,2,0.503394410363593,14938.3552407773,0,0
17,2,0.508162315088101,14938.3263447133,0,5
18,2,0.503394410363593,14938.3552407773,0,0
19,2,0.503394410363593,14938.3552407773,0,0
20,2,0.503394410363593,14938.3552407773,0,0
1,3,0.503394410363593,14938.3552407773,0,0
2,3,0.515174913785814,14938.2838443221,0,3
3,3,0.503536699632373,14938.3543784301,0,1
4,3,0.503394410363593,14938.3552407773,0,0
5,3,0.503394410363593,14938.3552407773,0,0
6,3,0.503572489871061,14938.3541615226,0,1
7,3,0.507058074380425,14938.3330370187,0,4
8,3,0.515167790164471,14938.2838874956,0,3
9,3,0.515486154267806,14938.2819580178,0,5
10,3,0.505636475703988,14938.3416526758,0,1
11,3,0.506695103021494,14938.3352368228,0,2
12,3,0.503394410363593,14938.3552407773,0,0
13,3,0.503555434114674,14938.3542648894,0,1
14,3,0.509889779904627,14938.315875311,0,3
15,3,0.526278559317744,14938.216549157,0,2
16,3,0.506552792465102,14938.336099302,0,1
17,3,0.503394410363593,14938.3552407773,0,0
18,3,0.503394410363593,14938.3552407773,0,0
19,3,0.503394410363593,14938.3552407773,0,0
20,3,0.503394410363593,14938.3552407773,0,0
1,4,0.50825045114118,14938.32581056,0,3
2,4,0.506696011853209,14938.3352313148,0,2
3,4,0.503560402399889,14938.354234779,0,1
4,4,0.503724099684296,14938.3532426878,0,2
5,4,0.503394410363593,14938.3552407773,0,0
6,4,0.526444595350843,14938.2155428666,0,3
7,4,0.503536699632373,14938.3543784301,0,1
8,4,0.512761366870296,14938.298471845,0,4
9,4,0.503703630850219,14938.3533667397,0,2
10,4,0.509877688816114,14938.3159485899,0,3
